"speech"	"bigram"	"n"	"tf"	"idf"	"tf_idf"
"135"	"27"	"qeqetarsuaq greenland"	1	0.00227790432801822	4.21950770517611	0.00961163486372689
"136"	"27"	"rare occasion"	1	0.00227790432801822	4.21950770517611	0.00961163486372689
"137"	"27"	"releasing mineral"	1	0.00227790432801822	4.21950770517611	0.00961163486372689
"138"	"27"	"rich fresh"	1	0.00227790432801822	4.21950770517611	0.00961163486372689
"139"	"27"	"size greenlandic"	1	0.00227790432801822	4.21950770517611	0.00961163486372689
"140"	"27"	"time music"	1	0.00227790432801822	4.21950770517611	0.00961163486372689
"141"	"46"	"ice melt"	4	0.00227272727272727	4.21950770517611	0.00958979023903661
"142"	"2"	"treaty based"	7	0.00223356732610083	4.21950770517611	0.00942455454251205
"143"	"53"	"million centuries"	2	0.00221483942414175	4.21950770517611	0.00934553201589392
"144"	"53"	"potentially devastating"	2	0.00221483942414175	4.21950770517611	0.00934553201589392
"145"	"53"	"question mark"	2	0.00221483942414175	4.21950770517611	0.00934553201589392
"146"	"61"	"50 miles"	1	0.00263157894736842	3.52636052461616	0.00927989611741095
"147"	"61"	"hot summer"	1	0.00263157894736842	3.52636052461616	0.00927989611741095
"148"	"61"	"miles wide"	1	0.00263157894736842	3.52636052461616	0.00927989611741095
"149"	"66"	"climate accord"	3	0.00219619326500732	4.21950770517611	0.00926685440375426
"150"	"66"	"paris climate"	3	0.00219619326500732	4.21950770517611	0.00926685440375426
"151"	"66"	"spray cans"	3	0.00219619326500732	4.21950770517611	0.00926685440375426
"152"	"41"	"lying islands"	2	0.00218102508178844	4.21950770517611	0.00920285213778867
"153"	"5"	"energy imbalance"	5	0.00218054949847362	4.21950770517611	0.00920084541032731
"154"	"68"	"global warming"	9	0.00504767246214246	1.82161243237774	0.00919490291160944
"155"	"43"	"glacier aquifer"	3	0.00214745884037223	4.21950770517611	0.00906121912349916
"156"	"43"	"numeric model"	3	0.00214745884037223	4.21950770517611	0.00906121912349916
"157"	"43"	"physics homework"	3	0.00214745884037223	4.21950770517611	0.00906121912349916
"158"	"45"	"sea level"	10	0.00495785820525533	1.82161243237774	0.00903129614465908
"159"	"17"	"climate crisis"	8	0.00254129606099111	3.52636052461616	0.00896152611084158
"160"	"16"	"human rights"	9	0.00314355571079287	2.83321334405622	0.0089063639876025
"161"	"42"	"perfect waves"	3	0.00210970464135021	4.21950770517611	0.00890191498982301
"162"	"10"	"solar system"	9	0.00308219178082192	2.83321334405622	0.00873250688236505
"163"	"35"	"exquisite structures"	4	0.00206611570247934	4.21950770517611	0.00871799112639692
"164"	"35"	"makes materials"	4	0.00206611570247934	4.21950770517611	0.00871799112639692
"165"	"35"	"nano scale"	4	0.00206611570247934	4.21950770517611	0.00871799112639692
"166"	"35"	"nature makes"	4	0.00206611570247934	4.21950770517611	0.00871799112639692
"167"	"35"	"solar cells"	4	0.00206611570247934	4.21950770517611	0.00871799112639692
"168"	"36"	"liquid metal"	6	0.00245800901269971	3.52636052461616	0.00866782595153501
"169"	"59"	"clean water"	3	0.00244299674267101	3.52636052461616	0.00861488727512092
