speech,bigram,n,tf,idf,tf_idf
19,calving face,10,0.0033478406427854034,4.219507705176107,0.01412623938793474
7,organized crime,9,0.003345724907063197,4.219507705176107,0.014117312024752774
62,heart disease,9,0.003998223011994669,3.5263605246161616,0.014099175798109929
38,little bottle,7,0.0033034450212364322,4.219507705176107,0.013938911720732774
61,sky and,2,0.005263157894736842,2.6100697927420065,0.013737209435484244
44,seasonal sea,5,0.0032552083333333335,4.219507705176107,0.013735376644453474
44,the underwater,5,0.0032552083333333335,4.219507705176107,0.013735376644453474
30,by your,4,0.003864734299516908,3.5263605246161616,0.013628446471946517
1,complex systems,7,0.003825136612021858,3.5263605246161616,0.013488810749897885
10,picture of,15,0.005136986301369863,2.6100697927420065,0.013407892770934965
57,the oldest,10,0.004273504273504274,3.120895416507997,0.013337159899606826
26,life support,8,0.0031323414252153485,4.219507705176107,0.013216938778938472
26,support system,8,0.0031323414252153485,4.219507705176107,0.013216938778938472
22,laughter applause,1,0.007575757575757576,1.7346010553881064,0.013140917086273534
34,the battery,6,0.0031007751937984496,4.219507705176107,0.013083744822251494
35,solar cell,6,0.0030991735537190084,4.219507705176107,0.013076986689595373
11,the clock,12,0.003090394025238218,4.219507705176107,0.013039941401522865
9,in iraq,6,0.003089598352214212,4.219507705176107,0.013036584053067271
39,bees are,7,0.0030877812086457872,4.219507705176107,0.013028916601778892
65,and together,2,0.0030349013657056147,4.219507705176107,0.012805789697044332
65,art museum,2,0.0030349013657056147,4.219507705176107,0.012805789697044332
65,art versus,2,0.0030349013657056147,4.219507705176107,0.012805789697044332
65,be read,2,0.0030349013657056147,4.219507705176107,0.012805789697044332
65,bead every,2,0.0030349013657056147,4.219507705176107,0.012805789697044332
65,data every,2,0.0030349013657056147,4.219507705176107,0.012805789697044332
65,dimensional graph,2,0.0030349013657056147,4.219507705176107,0.012805789697044332
65,every colored,2,0.0030349013657056147,4.219507705176107,0.012805789697044332
65,forms like,2,0.0030349013657056147,4.219507705176107,0.012805789697044332
65,museum it,2,0.0030349013657056147,4.219507705176107,0.012805789697044332
65,my translation,2,0.0030349013657056147,4.219507705176107,0.012805789697044332
65,natural reed,2,0.0030349013657056147,4.219507705176107,0.012805789697044332
65,read as,2,0.0030349013657056147,4.219507705176107,0.012805789697044332
65,these clipboards,2,0.0030349013657056147,4.219507705176107,0.012805789697044332
65,these numbers,2,0.0030349013657056147,4.219507705176107,0.012805789697044332
65,vertical elements,2,0.0030349013657056147,4.219507705176107,0.012805789697044332
18,atmospheric system,3,0.0035971223021582736,3.5263605246161616,0.012684750088547345
7,eastern europe,8,0.002973977695167286,4.219507705176107,0.012548721799780244
22,are all,1,0.007575757575757576,1.65455834771457,0.012534532937231592
22,of your,1,0.007575757575757576,1.65455834771457,0.012534532937231592
22,i have,2,0.015151515151515152,0.8183103235139513,0.012398641265362898
66,ozone hole,4,0.0029282576866764276,4.219507705176107,0.012355805871672348
30,makes you,3,0.002898550724637681,4.219507705176107,0.012230457116452485
43,greenland ice,6,0.004294917680744453,2.833213344056216,0.01216841808470816
43,the greenland,6,0.004294917680744453,2.833213344056216,0.01216841808470816
35,what if,9,0.0046487603305785125,2.6100697927420065,0.01213358891254032
64,the forest,9,0.004991680532445923,2.4277482359480516,0.012118543607061822
43,for how,4,0.002863278453829635,4.219507705176107,0.012081625497998873
43,ice flows,4,0.002863278453829635,4.219507705176107,0.012081625497998873
43,the crevasse,4,0.002863278453829635,4.219507705176107,0.012081625497998873
30,your heart,4,0.003864734299516908,3.120895416507997,0.012061431561383562
