"bigram"	"n"
"702"	"earth's heat"	2
"703"	"earth's surface"	2
"704"	"earth's water"	2
"705"	"easy hike"	2
"706"	"economic development"	2
"707"	"economic justice"	2
"708"	"economic networks"	2
"709"	"economic systems"	2
"710"	"efficiency solar"	2
"711"	"eighty percent"	2
"712"	"electrical power"	2
"713"	"elite audience"	2
"714"	"emergent property"	2
"715"	"emit light"	2
"716"	"energy efficient"	2
"717"	"energy policies"	2
"718"	"energy policy"	2
"719"	"energy system"	2
"720"	"engineered crops"	2
"721"	"engineered papaya"	2
"722"	"engineered world"	2
"723"	"english literature"	2
"724"	"enormous amount"	2
"725"	"enormous pressure"	2
"726"	"entire ecosystem"	2
"727"	"entire life"	2
"728"	"entire range"	2
"729"	"entire time"	2
"730"	"environment facility"	2
"731"	"environmental challenges"	2
"732"	"environmental degradation"	2
"733"	"environmental impacts"	2
"734"	"environmental movement"	2
"735"	"eureka moment"	2
"736"	"extreme ice"	2
"737"	"extremely low"	2
"738"	"exxon's revenues"	2
"739"	"fair projects"	2
"740"	"fairly rich"	2
"741"	"farming systems"	2
"742"	"fast growing"	2
"743"	"feed bag"	2
"744"	"feet deep"	2
"745"	"feet wide"	2
"746"	"fellow environmentalists"	2
"747"	"fellow tedsters"	2
"748"	"field trial"	2
"749"	"fifty percent"	2
"750"	"film called"	2
"751"	"finding shapes"	2
"752"	"finite planet"	2
"753"	"fire hydrant"	2
"754"	"fire suppression"	2
"755"	"fishing villages"	2
"756"	"fixed alliances"	2
"757"	"floating reactors"	2
"758"	"flood prone"	2
"759"	"flowerless landscape"	2
"760"	"fluorescent light"	2
"761"	"flying saucer"	2
"762"	"food crops"	2
"763"	"food desert"	2
"764"	"food deserts"	2
"765"	"food programme"	2
"766"	"force feed"	2
"767"	"forced migration"	2
"768"	"foreign secretary"	2
"769"	"forest grew"	2
"770"	"fort theory"	2
"771"	"fortingall yew"	2
"772"	"foundation called"	2
"773"	"free arctic"	2
"774"	"free trade"	2
"775"	"freely falling"	2
"776"	"freezing cold"	2
"777"	"fresh water"	2
"778"	"fundamental transformations"	2
"779"	"fusion company"	2
"780"	"fusion energy"	2
"781"	"fusion happen"	2
"782"	"fusion power"	2
"783"	"future based"	2
"784"	"future generations"	2
"785"	"future technologies"	2
"786"	"gaining heat"	2
"787"	"game called"	2
"788"	"gas pump"	2
"789"	"gas pumps"	2
"790"	"gates foundation"	2
"791"	"geeky nerdy"	2
"792"	"gef global"	2
"793"	"genetic technique"	2
"794"	"genetic techniques"	2
"795"	"genetically modified"	2
"796"	"geo engineered"	2
"797"	"geographic pole"	2
"798"	"geological era"	2
"799"	"geological map"	2
"800"	"global change"	2
"801"	"global environment"	2
"802"	"global level"	2
"803"	"global ocean"	2
"804"	"global phenomenon"	2
"805"	"global scale"	2
"806"	"global sea"	2
"807"	"global security"	2
"808"	"global stage"	2
"809"	"glorious day"	2
"810"	"graduate student"	2
"811"	"graduate students"	2
"812"	"green cities"	2
"813"	"green line"	2
"814"	"green revolution"	2
"815"	"green technologies"	2
"816"	"grim economic"	2
"817"	"grocery store"	2
"818"	"ground based"	2
"819"	"ground level"	2
"820"	"grow crops"	2
"821"	"growing demand"	2
"822"	"growing population"	2
"823"	"growth forest"	2
"824"	"growth rate"	2
"825"	"gulf coast"	2
"826"	"half ago"	2
"827"	"half billion"	2
"828"	"halter top"	2
"829"	"happen imagine"	2
"830"	"harbor seals"	2
"831"	"hard materials"	2
"832"	"hard question"	2
"833"	"hard time"	2
"834"	"hardware store"	2
"835"	"harsh conditions"	2
"836"	"hawaiian islands"	2
"837"	"hawaiian papaya"	2
"838"	"health services"	2
"839"	"heat wave"	2
"840"	"helpful grid"	2
"841"	"hero generation"	2
"842"	"hidden inside"	2
"843"	"hierarchy specialization"	2
"844"	"highly stressed"	2
"845"	"historical patchwork"	2
"846"	"hope jill"	2
"847"	"hope spots"	2
"848"	"hot summer"	2
"849"	"huge amounts"	2
"850"	"human caused"	2
"851"	"human dominated"	2
"852"	"human health"	2
"853"	"human influence"	2
"854"	"human perception"	2
"855"	"human safety"	2
"856"	"human solidarity"	2
"857"	"human suffering"	2
"858"	"humpback whales"	2
"859"	"hundred kilometers"	2
"860"	"husband raoul"	2
"861"	"ice age"	2
"862"	"ice cube"	2
"863"	"ice free"	2
"864"	"ice melts"	2
"865"	"ice survey"	2
"866"	"iceberg melts"	2
"867"	"iconic cats"	2
"868"	"ida tarbell"	2
"869"	"identical individual"	2
"870"	"idle fellows"	2
"871"	"iloveyou virus"	2
"872"	"immense risks"	2
"873"	"income country"	2
"874"	"incredibly complex"	2
"875"	"incredibly dangerous"	2
"876"	"incredibly relevant"	2
"877"	"individual actions"	2
"878"	"industrial revolution"	2
"879"	"insecticide sprays"	2
"880"	"intelligent life"	2
"881"	"intergovernmental panel"	2
"882"	"international monetary"	2
"883"	"international organized"	2
"884"	"international stage"	2
"885"	"internet satellite"	2
"886"	"internet trunk"	2
"887"	"invisible visible"	2
"888"	"iraq war"	2
"889"	"island impact"	2
"890"	"italian police"	2
"891"	"january 7003"	2
"892"	"jeff bezos"	2
"893"	"jet fuel"	2
"894"	"jews christians"	2
"895"	"justice communities"	2
"896"	"kills people"	2
"897"	"land management"	2
"898"	"landscape architecture"	2
"899"	"languages spoken"	2
"900"	"lapse photography"	2
"901"	"lapse units"	2
"902"	"largest private"	2
"903"	"law enforcement"	2
"904"	"legitimate world"	2
"905"	"level rising"	2
"906"	"license fees"	2
"907"	"light energy"	2
"908"	"lincoln canyon"	2
"909"	"line nature"	2
"910"	"lion bones"	2
"911"	"living conditions"	2
"912"	"living structures"	2
"913"	"local commons"	2
"914"	"local communities"	2
"915"	"local democracy"	2
"916"	"local level"	2
"917"	"location location"	2
"918"	"lose ice"	2
"919"	"lost megafauna"	2
"920"	"low blood"	2
"921"	"low clouds"	2
"922"	"low lying"	2
"923"	"low thick"	2
"924"	"lowest score"	2
"925"	"lunch counter"	2
"926"	"lying islands"	2
"927"	"magnetic field"	2
"928"	"major mass"	2
"929"	"makes cities"	2
"930"	"makes lots"	2
"931"	"malarial parasite"	2
"932"	"male lions"	2
"933"	"man's grandfather"	2
"934"	"managed wildfires"	2
"935"	"management land"	2
"936"	"marine sanctuaries"	2
"937"	"market based"	2
"938"	"marketing neutrons"	2
"939"	"medium sized"	2
"940"	"melting glaciers"	2
"941"	"mid 50s"	2
"942"	"mile deep"	2
"943"	"miles offshore"	2
"944"	"miles thick"	2
"945"	"miles wide"	2
"946"	"million acres"	2
"947"	"million centuries"	2
"948"	"million compact"	2
"949"	"million hives"	2
"950"	"million miles"	2
"951"	"million times"	2
"952"	"mineral resources"	2
"953"	"minerals management"	2
"954"	"mission statement"	2
"955"	"missouri river"	2
"956"	"mitch kapor"	2
"957"	"modern world"	2
"958"	"molecular weight"	2
"959"	"monetary fund"	2
"960"	"money changers"	2
"961"	"mono polar"	2
"962"	"moon enceladus"	2
"963"	"moral argument"	2
"964"	"moral ground"	2
"965"	"mount pinatubo"	2
"966"	"moving rapidly"	2
"967"	"multi polar"	2
"968"	"multiple species"	2
"969"	"musical note"	2
"970"	"myriad cultures"	2
"971"	"nasa headquarters"	2
"972"	"nation brands"	2
"973"	"national marine"	2
"974"	"national revenue"	2
"975"	"nations gathered"	2
"976"	"natural curves"	2
"977"	"natural defenses"	2
"978"	"natural environment"	2
"979"	"natural gas"	2
"980"	"natural reed"	2
"981"	"naval contingent"	2
"982"	"nerdy kids"	2
"983"	"net co2"	2
"984"	"neutrons hit"	2
"985"	"nonstop 24"	2
"986"	"north americans"	2
"987"	"north south"	2
"988"	"northern ireland"	2
"989"	"northwest amazon"	2
"990"	"northwest passage"	2
"991"	"nuclear arms"	2
"992"	"nuclear power"	2
"993"	"numeric models"	2
"994"	"ocean acidification"	2
"995"	"ocean bottom"	2
"996"	"ocean sediments"	2
"997"	"oceans forests"	2
"998"	"oil era"	2
"999"	"oil oil"	2
"1000"	"oil palm"	2
"1001"	"olympic medal"	2
"1002"	"ooh aah"	2
"1003"	"operating revenue"	2
"1004"	"opium den"	2
"1005"	"ordinary life"	2
"1006"	"organic farmer"	2
"1007"	"outfall pipes"	2
"1008"	"ownership relations"	2
"1009"	"oxygen dwarf"	2
"1010"	"ozone depleting"	2
"1011"	"palm tree"	2
"1012"	"past 30"	2
"1013"	"past mass"	2
"1014"	"pattern thinkers"	2
"1015"	"paul crutzen"	2
"1016"	"people argue"	2
"1017"	"people hungry"	2
"1018"	"people killed"	2
"1019"	"people obese"	2
"1020"	"people prefer"	2
"1021"	"people who've"	2
"1022"	"people's blood"	2
"1023"	"percent efficiency"	2
"1024"	"percent reduction"	2
"1025"	"perfectly fine"	2
"1026"	"peri urban"	2
"1027"	"permian extinction"	2
"1028"	"persian gulf"	2
"1029"	"personal favorite"	2
"1030"	"personal journey"	2
"1031"	"phone service"	2
"1032"	"physical geography"	2
"1033"	"pine cone"	2
"1034"	"planet heats"	2
"1035"	"planetary emergency"	2
"1036"	"plant eating"	2
"1037"	"plant flowers"	2
"1038"	"plant geneticist"	2
"1039"	"plant genetics"	2
"1040"	"pluripotent stem"	2
"1041"	"poisonous plastic"	2
"1042"	"polar regions"	2
