"speech"	"word"	"n"	"total"	"tf"	"idf"	"tf_idf"
"170"	"22"	"winter"	1	133	0.0075187969924812	1.91692261218206	0.0144129519712937
"171"	"12"	"bang"	15	2950	0.00508474576271186	2.83321334405622	0.0144061695460486
"172"	"46"	"mum"	6	1761	0.00340715502555366	4.21950770517611	0.0143765168830532
"173"	"67"	"contract"	5	1486	0.00336473755047106	4.21950770517611	0.014197536020108
"174"	"65"	"versus"	3	660	0.00454545454545455	3.120895416508	0.0141858882568545
"175"	"27"	"personality"	2	440	0.00454545454545455	3.120895416508	0.0141858882568545
"176"	"21"	"geo"	11	3288	0.00334549878345499	4.21950770517611	0.0141163578944456
"177"	"46"	"antarctica"	15	1761	0.00851788756388416	1.65455834771457	0.0140933419737187
"178"	"20"	"cities"	21	2357	0.00890963088672041	1.58045037556085	0.0140812294810258
"179"	"38"	"poor"	18	2120	0.00849056603773585	1.65455834771457	0.0140481369145577
"180"	"39"	"pollination"	9	2268	0.00396825396825397	3.52636052461616	0.0139934941453022
"181"	"14"	"compassion"	9	2729	0.00329791132282887	4.21950770517611	0.013915562237664
"182"	"14"	"traditions"	9	2729	0.00329791132282887	4.21950770517611	0.013915562237664
"183"	"27"	"boat"	3	440	0.00681818181818182	2.02228312783989	0.0137882940534538
"184"	"64"	"forests"	15	1804	0.00831485587583148	1.65455834771457	0.0137574141994005
"185"	"44"	"subarctic"	5	1537	0.00325309043591412	4.21950770517611	0.0137264401599743
"186"	"47"	"nature"	41	2670	0.0153558052434457	0.887303195000903	0.013625255054321
"187"	"44"	"mammals"	8	1537	0.00520494469746259	2.61006979274201	0.0135852689277398
"188"	"49"	"rewilding"	7	2181	0.00320953690967446	4.21950770517611	0.0135426657204185
"189"	"63"	"doha"	4	1251	0.00319744204636291	4.21950770517611	0.0134916313514824
"190"	"29"	"lion"	10	2626	0.00380807311500381	3.52636052461616	0.0134286387076015
"191"	"43"	"flows"	6	1398	0.00429184549356223	3.120895416508	0.0133944009292189
"192"	"43"	"radar"	6	1398	0.00429184549356223	3.120895416508	0.0133944009292189
"193"	"13"	"autism"	14	3708	0.00377562028047465	3.52636052461616	0.013314198313006
"194"	"55"	"unseen"	3	797	0.00376411543287327	3.52636052461616	0.0132736280725828
"195"	"60"	"rarer"	5	1594	0.00313676286072773	4.21950770517611	0.0132355950601509
"196"	"41"	"greenland"	7	918	0.00762527233115468	1.73460105538811	0.0132268054332426
"197"	"35"	"shell"	9	1937	0.00464636035105834	2.83321334405622	0.0131641301479122
"198"	"62"	"edinburgh"	7	2252	0.00310834813499112	4.21950770517611	0.0131156989059648
"199"	"43"	"hidden"	7	1398	0.0050071530758226	2.61006979274201	0.0130690189908398
"200"	"22"	"everyone"	1	133	0.0075187969924812	1.73460105538811	0.0130421131984068
"201"	"22"	"tree"	1	133	0.0075187969924812	1.73460105538811	0.0130421131984068
"202"	"65"	"art"	4	660	0.00606060606060606	2.14006616349627	0.0129700979605835
"203"	"28"	"seals"	12	3280	0.00365853658536585	3.52636052461616	0.0129013189924982
"204"	"68"	"models"	12	1784	0.00672645739910314	1.91692261218206	0.0128940982882201
